51564,tab
50589,খাবেন
42942,meal
36113,না
35463,mg
32289,করবেন
31715,after
30117,3
28008,days
21431,2
20362,1+0+1
19556,ডাক্তারের
19357,1
19345,month
17701,নিকটস্থ
16231,before
16201,of
14838,খাবার
14158,কোন
13511,and
13307,পরীক্ষা
12819,করে
12494,pain
12280,বিশেষজ্ঞ
12178,0+0+1
12143,h/o
11901,পানি
11679,যোগাযোগ
11566,প্রেসার
11518,ও
11460,পরিমানে
11396,সাথে
11391,>প্রচুর
11160,a
10288,কম
10025,পরামর্শ
10004,হাঁটবেন
9922,চর্বি
9872,অতিরিক্ত
9838,যুক্ত
9823,মসলা
9686,>তেল
9636,for
9515,নিয়মিত
9349,cont
9282,নিবেন
9037,করাবেন
8950,বেশী
8777,লবন
8760,with
8739,take
8646,>কাঁচা
8280,in
8273,blood
8150,হলে
8133,যদি
8047,থাকে
8040,তাহলে
8038,the
7951,এবং
7941,500
7837,স্বাভাবিক
7725,not
7692,১
7334,1+0+0
7303,>শাঁকসবজি
7134,4
6867,1+1+1
6256,পর
6237,5
6223,দিন
6203,>দুশ্চিন্তা
6101,20mg
5791,10
5778,প্রয়োজনে
5696,have
5695,>প্রতিদিন
5668,ব্যায়াম
5662,avoid
5602,অথবা
5539,0+1+0
5219,২
5129,plenty
5068,>প্রতি
5042,consult
4985,regularly
4976,doctor
4968,গুলো
4876,cap
4860,প্রেশার
4846,do
4800,ব্লাড
4785,করাবেন।
4742,htn
4730,>নিচের
4672,your
4669,if
4633,weakness
4610,মিনিট
4456,জাতীয়
4447,৩০
4352,>নিয়মিত
4254,>ডায়াবেটিস
4208,চলবেন
4167,ওষুধ
4154,।
4103,sleep
4095,>
4061,৭
3947,pressure
3921,>মিষ্টি
3897,৩
3808,or
3763,>৭
3751,dm
3706,খাবেন।
3684,back
3642,ব্যবহার
3467,মোতাবেক
3439,sugar
3433,high
3424,সপ্তাহ
3379,walk
3379,7
3326,ব্যথা
3285,>নির্দেশনা
3263,মাপাবেন।
3242,পর্যন্ত
3220,সপ্তাহে
3212,কয়েক
3137,মেনে
3081,খাদ্য
3075,জিনিস
3052,তালিকা
3050,plus
3046,50
2938,fbs
2935,১০
2908,à§§
2904,taking
2901,fasting
2884,you
2867,>ধূমপান
2852,to
2841,ঔষধ
2800,foods
2793,সমস্যা
2788,water
2778,on
2766,that
2743,তুলবেন
2733,>ভারী
2730,এর
2730,nearby
2726,find
2714,fat
2712,amount
2711,oil
2708,higher
2705,are
2703,spices
2703,contain
2689,01
2661,urine
2641,ডায়াবেটিস
2624,ecg
2576,burning
2570,নিয়মে
2553,জন্য
2542,chest
2523,d
